
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 29)","('loss_tr', 0.9247128469367557)","('acc1_tr', 0.5073333466798067)","('acc2_tr', 0.5137333464622498)","('acc_y_tr', 0.5137333464622498)","('loss_val', 0.9367775937223964)","('acc_val', 0.49233334600925444)","('acc2_val', 0.5036666783690452)","('accy__val', 0.5036666783690452)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 30)","('loss_tr', 0.9091120938027436)","('acc1_tr', 0.5143333469331265)","('acc2_tr', 0.5211333431303501)","('acc_y_tr', 0.5211333431303501)","('loss_val', 0.9289925817404324)","('acc_val', 0.4966666777431965)","('acc2_val', 0.5069333465397358)","('accy__val', 0.5069333465397358)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 31)","('loss_tr', 0.8868879544854693)","('acc1_tr', 0.5306666772067546)","('acc2_tr', 0.5365333437919617)","('acc_y_tr', 0.5365333437919617)","('loss_val', 0.9262114877870613)","('acc_val', 0.4956666781008244)","('acc2_val', 0.5070666779577732)","('accy__val', 0.5070666779577732)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 32)","('loss_tr', 0.8840886574285559)","('acc1_tr', 0.5349333443492651)","('acc2_tr', 0.5409333436191082)","('acc_y_tr', 0.5409333436191082)","('loss_val', 0.9344879963555865)","('acc_val', 0.4910000117123127)","('acc2_val', 0.5026000103354454)","('accy__val', 0.5026000103354454)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 33)","('loss_tr', 0.878241519216352)","('acc1_tr', 0.5361333450675011)","('acc2_tr', 0.545600013434887)","('acc_y_tr', 0.545600013434887)","('loss_val', 0.9339650296869809)","('acc_val', 0.4948666778206825)","('acc2_val', 0.5042666767537594)","('accy__val', 0.5042666767537594)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 34)","('loss_tr', 0.8666224950305752)","('acc1_tr', 0.5487333475053311)","('acc2_tr', 0.5508000136911869)","('acc_y_tr', 0.5508000136911869)","('loss_val', 0.8993645251656106)","('acc_val', 0.5366000126302243)","('acc2_val', 0.5392666786909104)","('accy__val', 0.539200012087822)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 35)","('loss_tr', 0.8687688177648119)","('acc1_tr', 0.5430666764080524)","('acc2_tr', 0.5488666780292988)","('acc_y_tr', 0.5488666780292988)","('loss_val', 0.9023460981681876)","('acc_val', 0.52706667765975)","('acc2_val', 0.5341333451867104)","('accy__val', 0.5342666786909104)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 36)","('loss_tr', 0.8648781702578597)","('acc1_tr', 0.5560000120103359)","('acc2_tr', 0.5574000139534473)","('acc_y_tr', 0.5574000139534473)","('loss_val', 0.8990542225304179)","('acc_val', 0.5356666773557663)","('acc2_val', 0.5430666798353195)","('accy__val', 0.5430666798353195)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 37)","('loss_tr', 0.8626713507705261)","('acc1_tr', 0.5503333474695683)","('acc2_tr', 0.552800013422966)","('acc_y_tr', 0.552800013422966)","('loss_val', 0.9039966922753386)","('acc_val', 0.524400011152029)","('acc2_val', 0.5312000119686127)","('accy__val', 0.5311333453655243)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 38)","('loss_tr', 0.827556954953008)","('acc1_tr', 0.5835333478450775)","('acc2_tr', 0.5853333480656147)","('acc_y_tr', 0.5853333480656147)","('loss_val', 0.8933861405616335)","('acc_val', 0.535933343321085)","('acc2_val', 0.5453333458304406)","('accy__val', 0.5453333458304406)"
